school_name,group_id,xuanke_req,is_special,group_name,min_score,subject,source
海口经济学院,01,不限,否,海口经济学院01专业组(不限),478,物理,eol.cn 征求志愿
三亚学院,01,不限,是,三亚学院01专业组(不限)(中外合作办学),478,物理,eol.cn 征求志愿
海南科技职业大学,01,不限,否,海南科技职业大学01专业组(不限),478,物理,eol.cn 征求志愿
电子科技大学成都学院,01,不限,否,电子科技大学成都学院01专业组(不限),504,物理,eol.cn 征求志愿
四川传媒学院,01,不限,否,四川传媒学院01专业组(不限),484,物理,eol.cn 征求志愿
成都银杏酒店管理学院,01,不限,否,成都银杏酒店管理学院01专业组(不限),502,物理,eol.cn 征求志愿
四川工商学院,01,不限,否,四川工商学院01专业组(不限),494,物理,eol.cn 征求志愿
成都外国语学院,01,不限,否,成都外国语学院01专业组(不限),491,物理,eol.cn 征求志愿
四川文化艺术学院,01,不限,否,四川文化艺术学院01专业组(不限),478,物理,eol.cn 征求志愿
四川电影电视学院,01,不限,否,四川电影电视学院01专业组(不限),482,物理,eol.cn 征求志愿
吉利学院,01,不限,否,吉利学院01专业组(不限),478,物理,eol.cn 征求志愿
重庆城市科技学院,01,不限,否,重庆城市科技学院01专业组(不限),498,物理,eol.cn 征求志愿
重庆对外经贸学院,01,不限,否,重庆对外经贸学院01专业组(不限),496,物理,eol.cn 征求志愿
重庆移通学院,01,不限,否,重庆移通学院01专业组(不限),491,物理,eol.cn 征求志愿
重庆人文科技学院,01,不限,否,重庆人文科技学院01专业组(不限),504,物理,eol.cn 征求志愿
贵阳人文科技学院,01,不限,否,贵阳人文科技学院01专业组(不限),483,物理,eol.cn 征求志愿
贵阳信息科技学院,01,不限,否,贵阳信息科技学院01专业组(不限),478,物理,eol.cn 征求志愿
滇池学院,01,不限,否,滇池学院01专业组(不限),479,物理,eol.cn 征求志愿
丽江文化旅游学院,01,不限,否,丽江文化旅游学院01专业组(不限),478,物理,eol.cn 征求志愿
昆明城市学院,01,不限,否,昆明城市学院01专业组(不限),478,物理,eol.cn 征求志愿
昆明医科大学海源学院,01,不限,否,昆明医科大学海源学院01专业组(不限),488,物理,eol.cn 征求志愿
昆明传媒学院,01,不限,否,昆明传媒学院01专业组(不限),479,物理,eol.cn 征求志愿
昆明文理学院,01,不限,否,昆明文理学院01专业组(不限),482,物理,eol.cn 征求志愿
昆明理工大学津桥学院,01,不限,否,昆明理工大学津桥学院01专业组(不限),478,物理,eol.cn 征求志愿
云南经济管理学院,01,不限,否,云南经济管理学院01专业组(不限),478,物理,eol.cn 征求志愿
西安培华学院,01,不限,否,西安培华学院01专业组(不限),501,物理,eol.cn 征求志愿
西安欧亚学院,01,不限,否,西安欧亚学院01专业组(不限),478,物理,eol.cn 征求志愿
西安外事学院,01,不限,否,西安外事学院01专业组(不限),480,物理,eol.cn 征求志愿
西安翻译学院,01,不限,否,西安翻译学院01专业组(不限),480,物理,eol.cn 征求志愿
西安思源学院,01,不限,否,西安思源学院01专业组(不限),486,物理,eol.cn 征求志愿
