year,subject,school_name,group_id,group_code,min_score,min_rank,xuanke_req,is_special
2024,物理,中国海洋大学,14,A13714,605,15356,化学,是
2024,物理,中国石油大学(华东),02,A13902,597,19063,不限,否
2024,物理,中国石油大学（华东）,03,A13903,599,18084,化学,否
2024,物理,中国石油大学（华东）,04,A13904,592,21511,化学,是
2024,物理,武汉大学,06,A14106,641,4287,不限,否
2024,物理,武汉大学,07,A14107,623,8760,不限,是
2024,物理,武汉大学,08,A14108,643,3901,化学,否
2024,物理,武汉大学,09,A14109,653,2315,化学,否
2024,物理,武汉大学,12,A14112,619,10035,不限,否
2024,物理,武汉大学,13,A14113,627,7659,不限,是
2024,物理,武汉大学,14,A14114,635,5543,化学,是
2024,物理,华中科技大学,03,A14303,648,3033,不限,否
2024,物理,华中科技大学,04,A14304,648,3033,不限,否
2024,物理,华中科技大学,05,A14305,598,18563,化学,否
2024,物理,华中科技大学,06,A14306,630,6777,化学,否
2024,物理,华中科技大学,09,A14309,621,9357,化学,是
2024,物理,华中科技大学,10,A14310,631,6509,化学,是
2024,物理,中国地质大学（武汉）,03,A14503,600,17613,不限,否
2024,物理,中国地质大学（武汉,04,A14504,592,21511,不限,是
2024,物理,中国地质大学（武汉）,05,A14505,594,20493,化学,是
2024,物理,中国地质大学（武汉）,06,A14506,607,14519,化学,否
2024,物理,中国地质大学（武汉）,07,A14507,604,15768,化学,否
2024,物理,中国地质大学（武汉）,08,A14508,591,21997,化学,否
2024,物理,中国地质大学（武汉）,09,A14509,603,16230,化学,否
2024,物理,中国地质大学（武汉）,10,A14510,596,19537,化学,是
2024,物理,武汉理工大学,06,A14706,597,19063,不限,否
2024,物理,武汉理工大学,07,A14707,607,14519,化学,是
2024,物理,武汉理工大学,08,A14708,636,5326,化学,否
2024,物理,武汉理工大学,09,A14709,635,5543,化学,否
2024,物理,武汉理工大学,10,A14710,633,5982,化学,否
2024,物理,武汉理工大学,11,A14711,630,6777,化学,否
2024,物理,武汉理工大学,13,A14713,602,16685,化学,否
2024,物理,武汉理工大学,14,A14714,592,21511,化学,否
2024,物理,武汉理工大学,15,A14715,613,12158,化学,是
2024,物理,华中农业大学,03,A14903,593,20986,不限,是
2024,物理,华中农业大学,04,A14904,593,20986,不限,否
2024,物理,华中农业大学,05,A14905,589,23071,不限,否
2024,物理,华中农业大学,06,A14906,597,19063,化学,否
2024,物理,华中农业大学,07,A14907,583,26392,化学,否
2024,物理,华中农业大学,08,A14908,596,19537,化学,是
2024,物理,华中农业大学,09,A14909,598,18563,生物,否
2024,物理,华中农业大学,10,A14910,605,15356,地理,否
2024,物理,华中师范大学,14,A15114,602,16685,不限,是
2024,物理,华中师范大学,15,A15115,601,17139,不限,否
