year,subject,school_name,school_type,group_id,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
2024,历史,合肥工业大学（宣城校区),211,2,政治,历史|政治,30,576,4923,5500,合肥,否,MinerU Flash
2024,历史,合肥工业大学(宣城校区),211,1,不限,历史,30,578,4652,5500,合肥,否,MinerU Flash
2024,历史,东北大学秦皇岛分校,普通,2,政治,历史|政治,30,587,3508,5500,其他,否,MinerU Flash
2024,历史,大连民族大学,普通,1,不限,历史,30,514,18013,5500,其他,否,MinerU Flash
2024,历史,东北大学秦皇岛分校,普通,1,不限,历史,30,588,3395,5500,其他,否,MinerU Flash
2024,历史,北京交通大学（威海校区）,211,1,不限,历史,30,573,5332,5500,北京,否,MinerU Flash
2024,历史,中国人民大学(苏州校区）,985,2,不限,历史,30,609,1473,5500,北京,否,MinerU Flash
2024,历史,北京大学医学部,普通,1,不限,历史,30,659,36,5500,其他,否,MinerU Flash
2024,历史,哈尔滨工业大学(深圳),985,1,不限,历史,30,603,1930,5500,其他,否,MinerU Flash
2024,历史,中国社会科学院大学,普通,4,政治,历史|政治,30,599,2259,5500,其他,是,MinerU Flash
2024,历史,中国社会科学院大学,普通,3,政治,历史|政治,30,598,2351,5500,其他,否,MinerU Flash
2024,历史,中国社会科学院大学,普通,2,不限,历史,30,598,2351,5500,其他,是,MinerU Flash
2024,历史,中国社会科学院大学,普通,1,不限,历史,30,590,3161,5500,其他,否,MinerU Flash
2024,历史,湖北经济学院,普通,3,不限,历史,30,511,18814,5500,武汉,否,MinerU Flash
2024,历史,湖北大学知行学院,普通,1,不限,历史,30,472,30639,5500,其他,否,MinerU Flash
2024,历史,武汉文理学院,普通,1,不限,历史,30,455,36545,5500,其他,否,MinerU Flash
2024,历史,湖北恩施学院,普通,1,不限,历史,30,455,36545,5500,其他,否,MinerU Flash
2024,历史,湖北经济学院法商学院,普通,1,不限,历史,30,462,34098,5500,其他,否,MinerU Flash
2024,历史,湖北工程学院新技术学院,普通,1,不限,历史,30,467,32349,5500,其他,否,MinerU Flash
2024,历史,湖北文理学院理工学院,普通,1,不限,历史,30,470,31326,5500,其他,否,MinerU Flash
2024,历史,武汉纺织大学外经贸学院,普通,1,不限,历史,30,437,43333,5500,武汉,否,MinerU Flash
2024,历史,武昌工学院,普通,1,不限,历史,30,438,42943,5500,武汉,否,MinerU Flash
2024,历史,武汉工程大学邮电与信息工程学院,普通,1,不限,历史,30,457,35824,5500,其他,否,MinerU Flash
2024,历史,武汉文理学院,普通,3,生物,历史|生物,30,453,37284,5500,其他,否,MinerU Flash
2024,历史,武汉文理学院,普通,2,不限,历史,30,442,41409,5500,其他,否,MinerU Flash
2024,历史,武汉体育学院体育科技学院,普通,2,不限,历史,30,437,43333,5500,其他,否,MinerU Flash
2024,历史,湖北恩施学院,普通,3,生物,历史|生物,30,8,999999,5500,其他,否,MinerU Flash
2024,历史,武汉体育学院体育科技学院,普通,1,不限,历史,30,451,38019,5500,其他,否,MinerU Flash
2024,历史,三峡大学科技学院,普通,1,不限,历史,30,468,32024,5500,其他,否,MinerU Flash
2024,历史,长江大学文理学院,普通,4,政治,历史|政治,30,481,27675,5500,其他,否,MinerU Flash
2024,历史,长江大学文理学院,普通,3,生物,历史|生物,30,464,33355,5500,其他,否,MinerU Flash
2024,历史,长江大学文理学院,普通,2,不限,历史,30,482,27370,5500,其他,否,MinerU Flash
2024,历史,长江大学文理学院,普通,1,不限,历史,30,472,30639,5500,其他,否,MinerU Flash
2024,历史,荆州学院,普通,1,不限,历史,30,434,44467,5500,其他,否,MinerU Flash
2024,历史,武汉工商学院,普通,2,不限,历史,30,432,45225,5500,武汉,否,MinerU Flash
2024,历史,武汉工商学院,普通,1,不限,历史,30,464,33355,5500,武汉,否,MinerU Flash
2024,历史,湖北恩施学院,普通,2,不限,历史,30,449,38766,5500,其他,否,MinerU Flash
2024,历史,湖北工业大学工程技术学院,普通,1,不,历史,30,454,36909,5500,其他,否,MinerU Flash
2024,历史,北京电影学院,普通,1,不限,历史,30,570,5797,5500,其他,否,MinerU Flash
2024,历史,天津工业大学,普通,1,不限,历史,30,572,5494,5500,其他,否,MinerU Flash
2024,历史,天津科技大学,普通,1,不限,历史,30,559,7693,5500,其他,否,MinerU Flash
2024,历史,北京金融科技学院,普通,1,不限,历史,30,456,36169,5500,其他,否,MinerU Flash
2024,历史,首都师范大学科德学院,普通,1,不限,历史,30,449,38766,5500,其他,否,MinerU Flash
2024,历史,北京城市学院,普通,1,不限,历史,30,466,32670,5500,其他,否,MinerU Flash
2024,历史,北京联合大学,普通,1,不限,历史,30,567,6324,5500,其他,否,MinerU Flash
2024,历史,北京电影学院,普通,4,不限,历史,30,567,6324,5500,其他,否,MinerU Flash
2024,历史,北京电影学院,普通,3,不限,历史,30,564,6816,5500,其他,否,MinerU Flash
2024,历史,北京电影学院,普通,2,不限,历史,30,568,6159,5500,其他,否,MinerU Flash
2024,历史,中国戏曲学院,普通,1,不限,历史,30,570,5797,5500,其他,否,MinerU Flash
2024,历史,湖北师范大学文理学院,普通,1,不限,历史,30,468,32024,5500,其他,否,MinerU Flash
2024,历史,首都经济贸易大学,普通,2,不限,历史,30,567,6324,5500,其他,是,MinerU Flash
2024,历史,首都经济贸易大学,普通,1,不限,历史,30,577,4789,5500,其他,否,MinerU Flash
2024,历史,北京物资学院,普通,2,不限,历史,30,547,10005,5500,其他,否,MinerU Flash
2024,历史,北京物资学院,普通,1,不限,历史,30,540,11562,5500,其他,是,MinerU Flash
2024,历史,首都体育学院,普通,1,不限,历史,30,543,10926,5500,其他,否,MinerU Flash
2024,历史,北京印刷学院,普通,1,不限,历史,30,536,12476,5500,其他,否,MinerU Flash
2024,历史,北方工业大学,普通,1,不限,历史,30,527,14666,5500,其他,否,MinerU Flash
2024,历史,武汉生物工程学院,普通,3,V,历史,30,450,38417,5500,武汉,否,MinerU Flash
2024,历史,武汉生物工程学院,普通,2,化学,历史|化学,30,132,999999,5500,武汉,否,MinerU Flash
2024,历史,陕西师范大学,普通,13,不限,历史,30,585,3748,5500,其他,是,MinerU Flash
2024,历史,武昌理工学院,普通,1,不限,历史,30,455,36545,5500,武汉,否,MinerU Flash
2024,历史,武汉城市学院,普通,2,化学,历史|化学,30,432,45225,5500,武汉,否,MinerU Flash
2024,历史,湖北第二师范学院,普通,3,不限,历史,30,514,18013,5500,其他,否,MinerU Flash
2024,历史,湖北第二师范学院,普通,2,不限,历史,30,525,15178,5500,其他,否,MinerU Flash
