school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
湖北理工学院,第08组,505,82295,物理,不限,否,2025,0
湖北经济学院,第13组,504,83172,物理,不限,否,2025,0
湖北第二师范学院,第09组,504,83172,物理,不限,否,2025,0
湖北经济学院,第18组（地方专项）,503,84048,物理,不限,否,2025,0
湖北文理学院,第11组,502,84925,物理,不限,否,2025,0
湖北工程学院,第05组,502,84925,物理,不限,否,2025,0
黄冈师范学院,第09组,501,85801,物理,不限,否,2025,0
湖北文理学院,第15组,501,85801,物理,不限,否,2025,0
湖北民族大学,第12组（地方专项）,501,85801,物理,不限,否,2025,0
武汉体育学院,第03组,500,86678,物理,不限,否,2025,0
武汉轻工大学,第10组（中外合作）,500,86678,物理,不限,否,2025,0
湖北文理学院,第16组（地方专项）,500,86678,物理,不限,否,2025,0
湖北民族大学,第17组,500,86678,物理,不限,否,2025,0
武汉商学院,第03组,500,86678,物理,不限,否,2025,0
黄冈师范学院,第17组（地方专项）,499,87560,物理,不限,否,2025,0
湖北汽车工业学院,第05组,499,87560,物理,不限,否,2025,0
武汉轻工大学,第08组（中外合作）,498,88442,物理,不限,否,2025,0
武汉商学院,第06组,498,88442,物理,不限,否,2025,0
湖北科技学院,第12组,497,89324,物理,不限,否,2025,0
黄冈师范学院,第12组,497,89324,物理,不限,否,2025,0
湖北第二师范学院,第16组（中外合作）,497,89324,物理,不限,否,2025,0
黄冈师范学院,第11组,496,90206,物理,不限,否,2025,0
湖北民族大学,第03组,495,91089,物理,不限,否,2025,0
湖北美术学院,第03组,495,91089,物理,不限,否,2025,0
黄冈师范学院,第13组,494,91971,物理,不限,否,2025,0
湖北文理学院,第09组,494,91971,物理,不限,否,2025,0
湖北经济学院,第14组（中外合作）,494,91971,物理,不限,否,2025,0
武汉职业技术大学,第02组,494,91971,物理,不限,否,2025,0
湖北医药学院,第04组,493,92853,物理,不限,否,2025,0
湖北文理学院,第14组（护理类）,493,92853,物理,不限,否,2025,0
湖北理工学院,第15组,493,92853,物理,不限,否,2025,0
湖北汽车工业学院,第08组（地方专项）,492,93735,物理,不限,否,2025,0
湖北科技学院,第06组,491,94617,物理,不限,否,2025,0
湖北汽车工业学院,第07组（地方专项）,490,95500,物理,不限,否,2025,0
湖北科技学院,第09组,489,96350,物理,不限,否,2025,0
湖北民族大学,第16组（地方专项）,489,96350,物理,不限,否,2025,0
湖北理工学院,第16组（护理类）,489,96350,物理,不限,否,2025,0
湖北民族大学,第04组,488,97200,物理,不限,否,2025,0
黄冈师范学院,第10组,487,98050,物理,不限,否,2025,0
黄冈师范学院,第14组,487,98050,物理,不限,否,2025,0
湖北汽车工业学院,第03组,487,98050,物理,不限,否,2025,0
湖北师范大学,第10组（中外合作）,487,98050,物理,不限,否,2025,0
湖北理工学院,第13组,486,98900,物理,不限,否,2025,0
湖北科技学院,第10组,485,99750,物理,不限,否,2025,0
湖北文理学院,第07组,485,99750,物理,不限,否,2025,0
湖北文理学院,第12组,485,99750,物理,不限,否,2025,0
湖北理工学院,第05组,485,99750,物理,不限,否,2025,0
湖北理工学院,第06组,485,99750,物理,不限,否,2025,0
汉江师范学院,第09组,485,99750,物理,不限,否,2025,0
湖北科技学院,第14组（地方专项）,484,100600,物理,不限,否,2025,0
湖北汽车工业学院,第06组（中外合作）,484,100600,物理,不限,否,2025,0
湖北美术学院,第02组,484,100600,物理,不限,否,2025,0
湖北理工学院,第10组,484,100600,物理,不限,否,2025,0
荆楚理工学院,第09组,484,100600,物理,不限,否,2025,0
湖北经济学院,第16组（中外合作）,483,101450,物理,不限,否,2025,0
湖北民族大学,第22组（地方专项）,483,101450,物理,不限,否,2025,0
湖北医药学院,第03组,482,102300,物理,不限,否,2025,0
湖北医药学院,第06组,482,102300,物理,不限,否,2025,0
湖北工程学院,第04组,482,102300,物理,不限,否,2025,0
湖北第二师范学院,第15组（中外合作）,482,102300,物理,不限,否,2025,0
荆楚理工学院,第08组,482,102300,物理,不限,否,2025,0
武汉商学院,第07组（中外合作）,482,102300,物理,不限,否,2025,0
汉江师范学院,第08组,482,102300,物理,不限,否,2025,0
黄冈师范学院,第15组,481,103150,物理,不限,否,2025,0
湖北工程学院,第03组,481,103150,物理,不限,否,2025,0
湖北理工学院,第12组,481,103150,物理,不限,否,2025,0
湖北科技学院,第11组（护理类）,480,104000,物理,不限,否,2025,0
湖北工程学院,第07组（地方专项）,480,104000,物理,不限,否,2025,0
湖北民族大学,第06组,480,104000,物理,不限,否,2025,0
湖北中医药大学,第14组（中外合作）,480,104000,物理,不限,否,2025,0
湖北理工学院,第11组,480,104000,物理,不限,否,2025,0
湖北民族大学,第05组（预科班）,479,104900,物理,不限,否,2025,0
湖北民族大学,第19组（民族班）,479,104900,物理,不限,否,2025,0
荆楚理工学院,第04组,479,104900,物理,不限,否,2025,0
湖北理工学院,第14组,478,105800,物理,不限,否,2025,0
湖北理工学院,第17组（中外合作）,478,105800,物理,不限,否,2025,0
荆楚理工学院,第07组,478,105800,物理,不限,否,2025,0
湖北医药学院,第08组（地方专项）,477,106700,物理,不限,否,2025,0
荆楚理工学院,第06组,477,106700,物理,不限,否,2025,0
汉江师范学院,第05组,477,106700,物理,不限,否,2025,0
汉江师范学院,第06组,477,106700,物理,不限,否,2025,0
汉江师范学院,第07组,477,106700,物理,不限,否,2025,0
湖北医药学院,第07组（护理类）,476,107600,物理,不限,否,2025,0
湖北科技学院,第13组（中外合作）,476,107600,物理,不限,否,2025,0
湖北恩施学院,第07组,474,109400,物理,不限,否,2025,0
