school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
2622,青岛理工大学,01,01,不限,30,0,550,21562,2024,历史,否
2624,青岛大学,01,01,不限,30,0,554,20987,2024,历史,否
2631,山东农业大学,01,01,不限,30,0,549,21706,2024,历史,否
2635,潍坊学院,01,01,不限,30,0,517,45750,2024,历史,否
2635,潍坊学院,02,02,思想政治,30,0,530,29143,2024,历史,否
2641,中国石油大学(华东),01,01,不限,30,0,582,7866,2024,历史,否
2642,聊城大学,01,01,不限,30,0,544,22425,2024,历史,否
2645,临沂大学,01,01,不限,30,0,536,28114,2024,历史,否
2650,山东航空学院,01,01,不限,30,0,532,28800,2024,历史,否
2651,烟台大学,01,01,不限,30,0,550,21562,2024,历史,否
2652,山东工商学院,01,01,不限,30,0,523,44250,2024,历史,否
2652,山东工商学院,02,02,思想政治,30,0,521,44750,2024,历史,否
2653,鲁东大学,01,01,不限,30,0,536,28114,2024,历史,否
2661,山东大学威海分校,01,01,不限,30,0,616,2100,2024,历史,否
2661,山东大学威海分校,02,02,思想政治,30,0,613,2175,2024,历史,否
2662,哈尔滨工业大学(威海),01,01,不限,30,0,616,2100,2024,历史,否
2669,菏泽学院,01,01,不限,30,0,526,29828,2024,历史,否
2671,曲阜师范大学,01,01,不限,30,0,541,22856,2024,历史,否
2683,德州学院,01,01,不限,30,0,530,29143,2024,历史,否
2691,山东第一医科大学,01,01,不限,30,0,533,28628,2024,历史,否
2701,山东女子学院,01,01,不限,30,0,514,46500,2024,历史,否
2702,济宁学院,01,01,不限,30,0,514,46500,2024,历史,否
2710,齐鲁师范学院,01,01,不限,30,0,531,28971,2024,历史,否
2711,山东师范大学,01,01,不限,30,0,550,21562,2024,历史,否
2711,山东师范大学,02,02,不限,30,0,527,29657,2024,历史,否
2711,山东师范大学,04,04,地理,30,0,578,13072,2024,历史,否
2755,山东石油化工学院,01,01,不限,30,0,529,29314,2024,历史,否
2755,山东石油化工学院,02,02,不限,30,0,525,30000,2024,历史,否
3101,北京大学,03,03,不限,30,0,659,138,2024,历史,否
3102,中国人民大学,02,02,不限,30,0,649,170,2024,历史,否
3102,中国人民大学,03,03,思想政治,30,0,649,170,2024,历史,否
3103,清华大学,02,02,不限,30,0,668,57,2024,历史,否
3104,北京师范大学,03,03,不限,30,0,632,510,2024,历史,否
3104,北京师范大学,04,04,思想政治,30,0,631,518,2024,历史,否
3105,北京交通大学,01,01,不限,30,0,606,2350,2024,历史,否
3106,北京航空航天大学,01,01,不限,30,0,627,547,2024,历史,否
3107,北京理工大学,01,01,不限,30,0,621,592,2024,历史,否
3108,北京科技大学,01,01,不限,30,0,601,2475,2024,历史,否
3109,北京化工大学,01,01,不限,30,0,585,7666,2024,历史,否
3110,中国农业大学,02,02,不限,30,0,619,2025,2024,历史,否
3112,中国政法大学,01,01,不限,30,0,613,2175,2024,历史,否
3112,中国政法大学,02,02,思想政治,30,0,623,577,2024,历史,否
3114,北京林业大学,01,01,不限,30,0,586,7600,2024,历史,否
3114,北京林业大学,02,02,不限,30,0,595,7000,2024,历史,否
3114,北京林业大学,03,03,生物,30,0,587,7533,2024,历史,否
3114,北京林业大学,04,04,地理,30,0,590,7333,2024,历史,否
3115,北京大学医学部,01,01,不限,30,0,653,157,2024,历史,否
3116,北京外国语大学,02,02,不限,30,0,616,2100,2024,历史,否
3116,北京外国语大学,03,03,思想政治,30,0,620,600,2024,历史,否
3117,北京语言大学,02,02,不限,30,0,577,13179,2024,历史,否
3117,北京语言大学,03,03,思想政治,30,0,585,7666,2024,历史,否
3118,中国石油大学(北京),01,01,不限,30,0,590,7333,2024,历史,否
3118,中国石油大学(北京),02,02,思想政治,30,0,596,6934,2024,历史,否
3119,对外经济贸易大学,02,02,不限,30,0,621,592,2024,历史,否
3120,中央财经大学,01,01,不限,30,0,623,577,2024,历史,否
3121,北京中医药大学,01,01,不限,30,0,592,7200,2024,历史,否
3122,中国矿业大学(北京),01,01,不限,30,0,584,7733,2024,历史,否
3123,中国传媒大学,02,02,不限,30,0,608,2300,2024,历史,否
3123,中国传媒大学,03,03,不限,30,0,606,2350,2024,历史,否
3124,中央美术学院,01,01,不限,30,0,587,7533,2024,历史,否
3125,中央戏剧学院,01,01,不限,30,0,575,13393,2024,历史,否
3127,北京体育大学,01,01,不限,30,0,581,7933,2024,历史,否
3127,北京体育大学,02,02,不限,30,0,582,7866,2024,历史,否
3127,北京体育大学,04,04,思想政治,30,0,585,7666,2024,历史,否
3128,华北电力大学(北京),01,01,不限,30,0,586,7600,2024,历史,否
3129,中央民族大学,01,01,不限,30,0,609,2275,2024,历史,否
3132,北京第二外国语学院,01,01,不限,30,0,567,14250,2024,历史,否
3133,首都师范大学,01,01,不限,30,0,584,7733,2024,历史,否
3136,北京物资学院,01,01,不限,30,0,542,22712,2024,历史,否
3139,北京印刷学院,01,01,不限,30,0,543,22568,2024,历史,否
3142,北京工商大学,01,01,不限,30,0,557,20556,2024,历史,否
3144,北京联合大学,01,01,不限,30,0,548,21850,2024,历史,否
3148,北京电影学院,01,01,不限,30,0,605,2375,2024,历史,否
3148,北京电影学院,02,02,不限,30,0,576,13286,2024,历史,否
3148,北京电影学院,03,03,不限,30,0,580,8000,2024,历史,否
3148,北京电影学院,04,04,不限,30,0,556,20700,2024,历史,否
3148,北京电影学院,05,05,不限,30,0,570,13928,2024,历史,否
3148,北京电影学院,06,06,不限,30,0,605,2375,2024,历史,否
3153,华北科技学院,01,01,不限,30,0,513,46750,2024,历史,否
3154,首都经济贸易大学,01,01,不限,30,0,582,7866,2024,历史,否
3169,中国劳动关系学院,01,01,不限,30,0,542,22712,2024,历史,否
3176,民政职业大学,01,01,不限,30,0,514,46500,2024,历史,否
3201,南开大学,02,02,不限,30,0,631,518,2024,历史,否
3204,天津师范大学,02,02,不限,30,0,493,75273,2024,历史,否
3204,天津师范大学,03,03,不限,30,0,557,20556,2024,历史,否
3204,天津师范大学,04,04,思想政治,30,0,565,14464,2024,历史,否
3204,天津师范大学,05,05,地理,30,0,572,13714,2024,历史,否
3205,中国民航大学,01,01,不限,30,0,557,20556,2024,历史,否
3205,中国民航大学,02,02,思想政治,30,0,563,14678,2024,历史,否
3206,天津工业大学,01,01,不限,30,0,575,13393,2024,历史,否
3206,天津工业大学,02,02,不限,30,0,544,22425,2024,历史,否
3207,天津商业大学,01,01,不限,30,0,551,21419,2024,历史,否
3208,天津科技大学,01,01,不限,30,0,548,21850,2024,历史,否
3209,天津财经大学,01,01,不限,30,0,566,14357,2024,历史,否
