school_code,school_name,group_code,group_id,plan_count,admitted,min_score,min_rank,year,subject,xuanke_req,is_special
10456,山东财经大学                       &gt;&gt;,201,01,12,12,531,22383,2024,历史,不限,否
10458,山东艺术学院             XV,201,01,5,5,491,44676,2024,历史,不限,否
10459,郑州大学                  W,201,01,9,9,580,6370,2024,历史,不限,否
10460,河南理工大学,201,01,3,3,502,37528,2024,历史,不限,否
10460,河南理工大学      7,202,02,7,7,507,34729,2024,历史,不限,否
10462,郑州轻工业大学,201,01,15,15,510,33148,2024,历史,不限,否
10463,河南工业大学,202,02,11,11,516,29602,2024,历史,不限,否
10464,河南科技大学,201,01,4,4,514,30699,2024,历史,不限,否
10466,河南农业大学,201,01,7,0,503,37159,2024,历史,不限,否
10466,河南农业大学,202,02,11,11,505,36006,2024,历史,不限,否
10467,河南科技学院,201,01,30,4,493,43660,2024,历史,不限,否
10467,河南科技学院,202,02,3,3,512,31712,2024,历史,不限,否
10475,河南大学,201,01,36,36,532,21826,2024,历史,不限,否
10475,河南大学,202,02,14,14,533,21463,2024,历史,不限,否
10475,河南大学（中外合作办学）,203,03,4,4,531,22400,2024,历史,不限,否
10475,河南大学,204,04,6,6,559,11765,2024,历史,不限,否
10476,河南师范大学,201,01,10,10,537,19707,2024,历史,不限,否
10476,河南师范大学,202,02,20,20,535,20619,2024,历史,不限,否
10478,周口师范学院,201,01,7,7,493,43292,2024,历史,不限,否
10481,南阳师范学院                        &gt;&gt;,201,01,3,3,496,41540,2024,历史,不限,否
10481,南阳师范学院,202,02,12,12,494,42670,2024,历史,不限,否
10481,南阳师范学院(中外合作办学),203,03,4,4,471,59025,2024,历史,不限,否
10482,洛阳师范学院,201,01,18,18,492,43997,2024,历史,不限,否
10483,商丘师范学院,201,01,8,8,493,43385,2024,历史,不限,否
10484,河南财经政法大学,201,01,5,5,539,18684,2024,历史,不限,否
10485,郑州航空工业管理学院,201,01,4,4,502,37591,2024,历史,不限,否
10486,武汉大学,201,01,45,45,631,545,2024,历史,不限,否
10487,华中科技大学,202,02,25,25,609,2003,2024,历史,不限,否
10488,武汉科技大学,201,01,6,6,532,21970,2024,历史,不限,否
10489,长江大学,201,01,2,2,529,23258,2024,历史,不限,否
10491,中国地质大学(武汉）,201,01,21,21,576,7082,2024,历史,不限,否
10491,中国地质大学(武汉),203,03,2,2,584,5430,2024,历史,不限,否
10495,武汉纺织大学,201,01,2,2,521,26895,2024,历史,不限,否
10495,武汉纺织大学,202,02,10,10,523,25842,2024,历史,不限,否
10496,武汉轻工大学,201,01,30,2,532,21948,2024,历史,不限,否
10496,武汉轻工大学,202,02,6,6,523,25857,2024,历史,不限,否
10497,武汉理工大学,201,01,32,32,577,6859,2024,历史,不限,否
10497,武汉理工大学（中外合作办学）,202,02,2,2,579,6437,2024,历史,不限,否
10497,武汉理工大学,203,03,4,4,585,5349,2024,历史,不限,否
10500,湖北工业大学,202,02,26,26,520,27700,2024,历史,不限,否
10504,华中农业大学,201,01,3,3,578,6626,2024,历史,不限,否
10504,华中农业大学,202,02,8,8,575,7447,2024,历史,不限,否
10507,湖北中医药大学           Y,201,01,2,2,517,29026,2024,历史,不限,否
10507,湖北中医药大学,202,02,4,4,517,28921,2024,历史,不限,否
10507,湖北中医药大学,203,03,2,2,497,40888,2024,历史,不限,否
10511,华中师范大学,202,02,31,31,596,3507,2024,历史,不限,否
10511,华中师范大学,203,03,5,5,606,2345,2024,历史,不限,否
10512,湖北大学,201,01,9,9,544,16928,2024,历史,不限,否
10512,湖北大学,W202&gt;,02,38,38,537,19579,2024,历史,不限,否
10512,湖北大学（中外合作办学）            1,203,03,8,8,518,28695,2024,历史,不限,否
10513,湖北师范大学                           X,201,01,4,4,533,21438,2024,历史,不限,否
10519,湖北文理学院                           人,201,01,3,3,512,31797,2024,历史,不限,否
10519,湖北文理学院                       &gt;,202,02,5,5,516,29562,2024,历史,不限,否
10520,中南财经政法大学       XV,201,01,8,8,590,4522,2024,历史,不限,否
10520,中南财经政法大学       M,202,02,2,2,589,4534,2024,历史,不限,否
10520,中南财经政法大学,203,03,2,2,594,3752,2024,历史,不限,否
10520,中南财经政法大学,204,04,87,87,593,3982,2024,历史,不限,否
10520,中南财经政法大学（中外合作办学）,205,05,7,7,531,22291,2024,历史,不限,否
10522,武汉体育学院,202,02,11,11,509,33570,2024,历史,不限,否
10523,湖北美术学院,201,01,1,0,503,36991,2024,历史,不限,否
10524,中南民族大学,202,02,2,0,550,14436,2024,历史,不限,否
10528,湖北工程学院,201,01,1,0,501,38591,2024,历史,不限,否
10530,湘潭大学,202,02,30,30,563,10329,2024,历史,不限,否
10531,吉首大学,201,01,3,3,511,32448,2024,历史,不限,否
10531,吉首大学,202,02,12,12,517,28953,2024,历史,不限,否
10532,湖南大学,201,01,2,2,598,3280,2024,历史,不限,否
10532,湖南大学,202,02,28,28,610,1906,2024,历史,不限,否
10533,中南大学,201,01,31,31,606,2311,2024,历史,不限,否
10534,湖南科技大学,201,01,4,4,530,22668,2024,历史,不限,否
10534,湖南科技大学                               &gt;,202,02,4,4,525,25281,2024,历史,不限,否
10534,湖南科技大学,203,03,45,45,526,24640,2024,历史,不限,否
10534,湖南科技大学                       &gt;&gt;,204,04,1,1,545,16398,2024,历史,不限,否
10534,湖南科技大学                       K,205,05,3,3,549,14812,2024,历史,不限,否
10536,长沙理工大学                            Y,201,01,25,25,530,22585,2024,历史,不限,否
10536,长沙理工大学,202,02,7,7,545,16410,2024,历史,不限,否
10537,湖南农业大学,201,01,6,6,529,23201,2024,历史,不限,否
10537,湖南农业大学  ?,202,02,38,38,526,24492,2024,历史,不限,否
10537,湖南农业大学（中外合作办学）,203,03,10,10,500,38875,2024,历史,不限,否
10537,湖南农业大学,204,04,3,3,541,17845,2024,历史,不限,否
10537,湖南农业大学,219,19,2,2,529,22952,2024,历史,不限,否
10538,中南林业科技大学,201,01,5,0,526,24761,2024,历史,不限,否
10538,中南林业科技大学,203,03,32,32,524,25667,2024,历史,不限,否
10542,湖南师范大学,201,01,53,53,573,7773,2024,历史,不限,否
10542,湖南师范大学,202,02,4,4,578,6821,2024,历史,不限,否
10542,湖南师范大学,203,03,2,2,583,5662,2024,历史,不限,否
10542,湖南师范大学,204,04,4,4,584,5422,2024,历史,不限,否
10543,湖南理工学院,201,01,30,5,509,33431,2024,历史,不限,否
10543,湖南理工学院,202,02,12,12,510,32685,2024,历史,不限,否
10545,湘南学院,201,01,4,4,495,42168,2024,历史,不限,否
10546,衡阳师范学院,201,01,4,4,500,39214,2024,历史,不限,否
10546,衡阳师范学院,202,02,12,12,498,40294,2024,历史,不限,否
10546,衡阳师范学院,203,03,2,2,496,41711,2024,历史,不限,否
10547,邵阳学院,201,01,2,2,495,42124,2024,历史,不限,否
10547,邵阳学院,202,02,6,6,498,39971,2024,历史,不限,否
10547,邵阳学院                         X,203,03,4,4,493,43374,2024,历史,不限,否
10548,怀化学院,201,01,4,4,495,42110,2024,历史,不限,否
10548,怀化学院,202,02,2,2,498,40400,2024,历史,不限,否
10549,湖南文理学院,201,01,2,2,500,39267,2024,历史,不限,否
10549,湖南文理学院,202,02,12,12,499,39328,2024,历史,不限,否
10551,湖南科技学院,201,01,3,3,501,38543,2024,历史,不限,否
10551,湖南科技学院,W202&gt;,02,6,6,496,41685,2024,历史,不限,否
10553,湖南人文科技学院,201,01,5,5,495,41977,2024,历史,不限,否
10553,湖南人文科技学院（中外合作办学） X,?202,02,3,3,488,46645,2024,历史,不限,否
10553,湖南人文科技学院                     人,203,03,5,5,499,39486,2024,历史,不限,否
10554,湖南工商大学                       &gt;&gt;,201,01,1,1,531,22226,2024,历史,不限,否
10554,湖南工商大学,202,02,3,3,533,21562,2024,历史,不限,否
10555,南华大学,201,01,18,18,530,22468,2024,历史,不限,否
10558,中山大学,201,01,156,156,618,1203,2024,历史,不限,否
10558,中山大学            7,202,02,52,52,617,1326,2024,历史,不限,否
