school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
8005,上海外国语大学贤达经济人文学院,02,02,不限,30,0,485,146591,2024,物理,否
8005,上海外国语大学贤达经济人文学院,03,03,不限,30,0,485,146591,2024,物理,否
8006,上海师范大学天华学院,02,02,不限,30,0,485,146591,2024,物理,否
8006,上海师范大学天华学院,03,03,不限,30,0,489,143864,2024,物理,否
8006,上海师范大学天华学院,04,04,化学,30,0,462,180881,2024,物理,否
8023,上海立达学院,03,03,不限,30,0,484,147273,2024,物理,否
8023,上海立达学院,04,04,化学,30,0,462,180881,2024,物理,否
8029,上海中侨职业技术大学,03,03,不限,30,0,490,143183,2024,物理,否
8030,浙江万里学院,03,03,不限,30,0,503,108350,2024,物理,否
8030,浙江万里学院,04,04,不限,30,0,498,137729,2024,物理,否
8030,浙江万里学院,06,06,化学,30,0,487,145228,2024,物理,否
8031,浙江树人学院,02,02,不限,30,0,488,144546,2024,物理,否
8031,浙江树人学院,03,03,化学,30,0,462,180881,2024,物理,否
8032,浙江越秀外国语学院,02,02,不限,30,0,482,148636,2024,物理,否
8032,浙江越秀外国语学院,03,03,化学,30,0,465,178601,2024,物理,否
8033,宁波财经学院,02,02,不限,30,0,490,143183,2024,物理,否
8033,宁波财经学院,03,03,化学,30,0,462,180881,2024,物理,否
8036,浙江工业大学之江学院,02,02,不限,30,0,492,141819,2024,物理,否
8036,浙江工业大学之江学院,03,03,化学,30,0,466,177841,2024,物理,否
8037,浙江师范大学行知学院,02,02,化学,30,0,473,172522,2024,物理,否
8037,浙江师范大学行知学院,03,03,生物,30,0,504,107800,2024,物理,否
8038,宁波大学科学技术学院,02,02,不限,30,0,491,142501,2024,物理,否
8038,宁波大学科学技术学院,03,03,化学,30,0,462,180881,2024,物理,否
8039,杭州电子科技大学信息工程学院,01,01,不限,30,0,506,106700,2024,物理,否
8039,杭州电子科技大学信息工程学院,02,02,化学,30,0,482,148636,2024,物理,否
8040,浙江理工大学科技与艺术学院,01,01,不限,30,0,490,143183,2024,物理,否
8040,浙江理工大学科技与艺术学院,02,02,化学,30,0,463,180121,2024,物理,否
8042,浙江农林大学暨阳学院,02,02,化学,30,0,462,180881,2024,物理,否
8042,浙江农林大学暨阳学院,03,03,生物,30,0,492,141819,2024,物理,否
8043,温州医科大学仁济学院,01,01,不限,30,0,496,139093,2024,物理,否
8043,温州医科大学仁济学院,02,02,不限,30,0,490,143183,2024,物理,否
8046,绍兴文理学院元培学院,02,02,不限,30,0,491,142501,2024,物理,否
8046,绍兴文理学院元培学院,03,03,化学,30,0,462,180881,2024,物理,否
8048,浙江工商大学杭州商学院,02,02,不限,30,0,492,141819,2024,物理,否
8048,浙江工商大学杭州商学院,03,03,化学,30,0,479,167963,2024,物理,否
8050,中国计量大学现代科技学院,01,01,不限,30,0,536,74973,2024,物理,否
8050,中国计量大学现代科技学院,02,02,化学,30,0,515,101752,2024,物理,否
8051,浙江财经大学东方学院,02,02,不限,30,0,490,143183,2024,物理,否
8051,浙江财经大学东方学院,03,03,化学,30,0,474,171762,2024,物理,否
8052,温州商学院,03,03,不限,30,0,489,143864,2024,物理,否
8052,温州商学院,04,04,化学,30,0,463,180121,2024,物理,否
8054,上海财经大学浙江学院,02,02,不限,30,0,495,139774,2024,物理,否
8054,上海财经大学浙江学院,03,03,化学,30,0,480,150000,2024,物理,否
8077,浙江广厦建设职业技术大学,02,02,不限,30,0,491,142501,2024,物理,否
8080,安徽三联学院,02,02,不限,30,0,490,143183,2024,物理,否
8080,安徽三联学院,03,03,化学,30,0,464,179361,2024,物理,否
8081,安徽新华学院,02,02,不限,30,0,488,144546,2024,物理,否
8081,安徽新华学院,03,03,化学,30,0,462,180881,2024,物理,否
8082,安徽文达信息工程学院,02,02,不限,30,0,489,143864,2024,物理,否
8083,安徽外国语学院,02,02,不限,30,0,487,145228,2024,物理,否
8084,蚌埠工商学院,02,02,不限,30,0,497,138411,2024,物理,否
8084,蚌埠工商学院,03,03,化学,30,0,480,150000,2024,物理,否
8086,安徽信息工程学院,01,01,化学,30,0,475,171003,2024,物理,否
8087,马鞍山学院,02,02,不限,30,0,498,137729,2024,物理,否
8087,马鞍山学院,03,03,化学,30,0,479,167963,2024,物理,否
8088,合肥城市学院,02,02,不限,30,0,491,142501,2024,物理,否
8088,合肥城市学院,03,03,化学,30,0,462,180881,2024,物理,否
8090,芜湖学院,02,02,化学,30,0,476,170243,2024,物理,否
8091,安徽医科大学临床医学院,01,01,不限,30,0,501,109450,2024,物理,否
8094,皖江工学院,02,02,不限,30,0,490,143183,2024,物理,否
8094,皖江工学院,03,03,不限,30,0,489,143864,2024,物理,否
8094,皖江工学院,04,04,化学,30,0,462,180881,2024,物理,否
8120,厦门华厦学院,01,01,不限,30,0,486,145909,2024,物理,否
8120,厦门华厦学院,02,02,化学,30,0,462,180881,2024,物理,否
8121,闽南理工学院,02,02,不限,30,0,487,145228,2024,物理,否
8121,闽南理工学院,03,03,化学,30,0,464,179361,2024,物理,否
8122,闽南科技学院,01,01,不限,30,0,486,145909,2024,物理,否
8122,闽南科技学院,02,02,化学,30,0,465,178601,2024,物理,否
8124,厦门工学院,02,02,不限,30,0,486,145909,2024,物理,否
8124,厦门工学院,03,03,化学,30,0,462,180881,2024,物理,否
8125,阳光学院,02,02,不限,30,0,482,148636,2024,物理,否
8125,阳光学院,04,04,化学,30,0,462,180881,2024,物理,否
8126,厦门大学嘉庚学院,02,02,不限,30,0,492,141819,2024,物理,否
8126,厦门大学嘉庚学院,03,03,不限,30,0,494,140456,2024,物理,否
8126,厦门大学嘉庚学院,04,04,化学,30,0,462,180881,2024,物理,否
8127,福州大学至诚学院,02,02,不限,30,0,488,144546,2024,物理,否
8127,福州大学至诚学院,03,03,化学,30,0,462,180881,2024,物理,否
8128,集美大学诚毅学院,02,02,不限,30,0,489,143864,2024,物理,否
8128,集美大学诚毅学院,03,03,化学,30,0,464,179361,2024,物理,否
8130,福州外语外贸学院,02,02,不限,30,0,486,145909,2024,物理,否
8130,福州外语外贸学院,03,03,化学,30,0,467,177082,2024,物理,否
8132,仰恩大学,02,02,不限,30,0,494,140456,2024,物理,否
8133,泉州信息工程学院,01,01,化学,30,0,462,180881,2024,物理,否
8170,江西科技学院,03,03,不限,30,0,489,143864,2024,物理,否
8170,江西科技学院,04,04,化学,30,0,462,180881,2024,物理,否
8171,江西工程学院,02,02,化学,30,0,476,170243,2024,物理,否
